"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Conformance Checking-based Approach for Drift Detection in Business Processes","https://scispace.com/paper/a-conformance-checking-based-approach-for-drift-detection-in-3wwgxig1qh","2021","Journal Article","IEEE Transactions on Services Computing","Víctor Gallego-Fontenla
Juan C. Vidal
Manuel Lama","10.1109/TSC.2021.3120031","https://arxiv.org/pdf/1907.04276.pdf","Real life business processes change over time, in both planned and unexpected ways. The detection of these changes is crucial for organizations to ensure that the expected and the real behavior are as similar as possible. These changes over time are called concept drift and its detection is a big challenge in process mining since the inherent complexity of the data makes difficult distinguishing between a change and an anomalous execution. In this paper, we present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces. C2D2 combines discovery techniques with conformance checking methods to perform an offline detection. Our approach has been validated with a synthetic benchmarking dataset formed by 68 logs, showing an improvement in the accuracy while maintaining a minimum delay in the drift detection.","In this article, the authors present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces."
"A Conformance Checking-based Approach for Drift Detection in Business Processes","https://scispace.com/paper/a-conformance-checking-based-approach-for-drift-detection-in-zm5bqb852d","2019","Posted Content","arXiv: Artificial Intelligence","Víctor Gallego-Fontenla
Juan C. Vidal
Manuel Lama","","https://arxiv.org/pdf/1907.04276v1","Real life business processes change over time, in both planned and unexpected ways. The detection of these changes is crucial for organizations to ensure that the expected and the real behavior are as similar as possible. These changes over time are called concept drift and its detection is a big challenge in process mining since the inherent complexity of the data makes difficult distinguishing between a change and an anomalous execution. In this paper, we present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces. C2D2 combines discovery techniques with conformance checking methods to perform an offline detection. Our approach has been validated with a synthetic benchmarking dataset formed by 68 logs, showing an improvement in the accuracy while maintaining a minimum delay in the drift detection.","C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces, which has been validated with a synthetic benchmarking dataset, showing an improvement in the accuracy while maintaining a minimum delay in the drift detection."
"A Conformance Checking-based Approach for Sudden Drift Detection in Business Processes","https://scispace.com/paper/a-conformance-checking-based-approach-for-sudden-drift-3mk9wa4k","2022","Journal Article","IEEE Transactions on Services Computing","","10.1109/tsc.2021.3120031","https://scispace.com/pdf/a-conformance-checking-based-approach-for-sudden-drift-3mk9wa4k.pdf","Real life business processes change over time, in both planned and unexpected ways. The detection of these changes is crucial for organizations to ensure that the expected and the real behavior are as similar as possible. These changes over time are called concept drift and its detection is a big challenge in process mining since the inherent complexity of the data makes difficult distinguishing between a change and an anomalous execution. In this paper, we present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces. C2D2 combines discovery techniques with conformance checking methods to perform an offline detection. Our approach has been validated with a synthetic benchmarking dataset formed by 68 logs, showing an improvement in the accuracy while maintaining a minimum delay in the drift detection. ","In this paper , the authors present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-flow changes in the process models from event traces."
"Rule based continuous drift and consistency management for complex systems","https://scispace.com/paper/rule-based-continuous-drift-and-consistency-management-for-54g8u9gcmy","2015","Patent","","Raja Chatterjee
Ashishkumar Gor","","","Techniques are for rule-based continuous drift and consistency management for target systems. In one embodiment, a set of rules is stored in volatile or non-volatile store. The set of rules may include one or more drift rules and/or one or more consistency rules. A rule may be applied to one or more associated targets to detect drift or inconsistency. A drift rule identifies a set of one or more attributes and a source and may be applied by comparing a first configuration of the set of one or more attributes on an associated target with a second configuration of the set of one or more attributes on the source. A consistency rule may be applied to a composite target by comparing member targets that are grouped by target type. Notification data may be output if target drift or inconsistency is detected to alert a user.","In this paper, a rule-based continuous drift and consistency management for target systems is presented, where a set of rules is stored in a volatile or non-volatile store."
"Drift detection and notification","https://scispace.com/paper/drift-detection-and-notification-2d4wlj1kbl","2012","Patent","","Haroon Ahmed
James D. Laflen","","","A drift condition, or change, in a data structure can be detected and communicated to one or more subscribers. Data structure can be monitored by periodic configurable polling of a data source or on demand polling. Upon detection of a change in the in the data structure, subscribers can be notified of the change and optionally other information such as the identity of the object that changed and nature of the change.","In this paper, a drift condition or change in a data structure can be detected and communicated to one or more subscribers by periodic configurable polling of a data source or on demand polling."
"Advanced computer system drift detection","https://scispace.com/paper/advanced-computer-system-drift-detection-51kfw41488","2019","Patent","","Lahav Omri Moshe
Johnson Raoul Christopher
Tolpin David","","","Computer system drift can occur when a computer system or a cluster of computer systems deviates from ideal and/or desired behavior. In a server farm, for example, many different machines may be identically configured to work in conjunction with each other to provide an electronic service (serving web pages, processing electronic payment transactions, etc.). Over time, however, one or more of these systems may drift from previous behavior. Early drift detection can be important, especially in large enterprises, to avoiding costly downtime. Changes in a computer's configuration files, network connections, and/or executable processes can indicate ongoing drift, but collecting this information at scale can be difficult. By using certain hashing and min-Hash techniques, however, drift detection can be streamlined and accomplished for large scale operations. Velocity of drift may also be tracked using a decay function.","In this paper, the authors use hashing and min-Hash techniques to detect computer system drift in large-scale server farms, where one or more of the machines may drift from previous behavior."
"A Conflict-based Drift Detection and Adaptation Approach for Multisensor Information Fusion","https://scispace.com/paper/a-conflict-based-drift-detection-and-adaptation-approach-for-jycdjqld9e","2018","Proceedings Article","Emerging Technologies and Factory Automation","Christoph-Alexander Holst
Volker Lohweg","10.1109/ETFA.2018.8502571","","Multisensor systems are susceptible to sensor ageing effects as well as to environmental changes. Due to these effects, the distribution of sensor measurements may change over time, which is referred to as sensor drift. A multisensor system which adapts to drift by self-monitoring is more durable, requires less manual maintenance, and provides information of higher quality. This contribution proposes an approach for detecting and adapting to sensor drift. The proposed detection algorithm determines the reliability of a sensor based on fuzzy pattern classifiers and a consistency measure. By this means, the inherent redundancy in multisensor systems is exploited to detect drift. Detected drift leads then to a retraining of the classifier on batched data guided by information fusion. The retraining incorporates the estimated magnitude of the drift. The proposed algorithms are evaluated in comparison with state-of-the-art methods in the scope of a publicly available dataset. It is shown that the drift detection algorithm yields results similar to the benchmark algorithm but is less computationally complex. Relearning with the drift-adapted approach results in more robust classifiers with regard to potential future drift.","The drift detection algorithm yields results similar to the benchmark algorithm but is less computationally complex and relearning with the drift-adapted approach results in more robust classifiers with regard to potential future drift."
"Gradual Drift Detection in Process Models Using Conformance Metrics","https://scispace.com/paper/gradual-drift-detection-in-process-models-using-conformance-e9wtufqat3fb","2025","Journal Article","ACM Transactions on Knowledge Discovery From Data","Víctor Gallego-Fontenla
Pedro Gamallo-Fernandez
Juan C. Vidal
Manuel Lama","10.1145/3716169","","Changes, planned or unexpected, are common during the execution of real-life processes. Detecting these changes is a must for optimizing the performance of organizations running such processes. Most of the algorithms present in the state-of-the-art focus on the detection of sudden changes, leaving aside other types of changes. In this paper, we will focus on the automatic detection of gradual drifts, a special type of change, in which the cases of two models overlap during a period of time. The proposed algorithm relies on conformance checking metrics to carry out the automatic detection of the changes, performing also a fully automatic classification of these changes into sudden or gradual. The approach has been validated with a synthetic dataset consisting of 120 logs with different distributions of changes, getting better results in terms of detection and classification accuracy, delay and change region overlapping than the main state-of-the-art algorithms. ","This paper proposes an algorithm for automatic detection and classification of gradual drifts in process models using conformance metrics, outperforming state-of-the-art algorithms in detection accuracy, delay, and change region overlapping on a synthetic dataset of 120 logs."
"Detecting sudden and gradual drifts in business processes from execution traces","https://scispace.com/paper/detecting-sudden-and-gradual-drifts-in-business-processes-3t0dobaohx","2020","Journal Article","arXiv: Artificial Intelligence","Abderrahmane Maaradji
Marlon Dumas
Marcello La Rosa
Alireza Ostovar","10.1109/TKDE.2017.2720601","http://export.arxiv.org/pdf/2005.04016","Business processes are prone to unexpected changes, as process workers may suddenly or gradually start executing a process differently in order to adjust to changes in workload, season, or other external factors. Early detection of business process changes enables managers to identify and act upon changes that may otherwise affect process performance. Business process drift detection refers to a family of methods to detect changes in a business process by analyzing event logs extracted from the systems that support the execution of the process. Existing methods for business process drift detection are based on an explorative analysis of a potentially large feature space and in some cases they require users to manually identify specific features that characterize the drift. Depending on the explored feature space, these methods miss various types of changes. Moreover, they are either designed to detect sudden drifts or gradual drifts but not both. This paper proposes an automated and statistically grounded method for detecting sudden and gradual business process drifts under a unified framework. An empirical evaluation shows that the method detects typical change patterns with significantly higher accuracy and lower detection delay than existing methods, while accurately distinguishing between sudden and gradual drifts.","In this article, the authors propose an automated and statistically grounded method for detecting sudden and gradual business process drifts under a unified framework, which detects typical change patterns with significantly higher accuracy and lower detection delay than existing methods."
"Gradual Drift Detection in Process Models Using Conformance Metrics","https://scispace.com/paper/gradual-drift-detection-in-process-models-using-conformance-3ecavv7a","2022","Journal Article","arXiv.org","Víctor Gallego-Fontenla
Juan C. Vidal
Manuel Lama","10.48550/arXiv.2207.11007","https://scispace.compdf/gradual-drift-detection-in-process-models-using-conformance-3ecavv7a.pdf","Changes, planned or unexpected, are common during the execution of real-life processes. Detecting these changes is a must for optimizing the performance of organizations running such processes. Most of the algorithms present in the state-of-the-art focus on the detection of sudden changes, leaving aside other types of changes. In this paper, we will focus on the automatic detection of gradual drifts, a special type of change, in which the cases of two models overlap during a period of time. The proposed algorithm relies on conformance checking metrics to carry out the automatic detection of the changes, performing also a fully automatic classification of these changes into sudden or gradual. The approach has been validated with a synthetic dataset consisting of 120 logs with different distributions of changes, getting better results in terms of detection and classification accuracy, delay and change region overlapping than the main state-of-the-art algorithms.","In this paper , the authors focus on the automatic detection of gradual drifts, a special type of change, in which the cases of two models overlap during a period of time."
