"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks","https://scispace.com/paper/cloud-resource-orchestration-in-the-multi-cloud-landscape-a-4nkjt08nv6","2020","Journal Article","Journal of Cloud Computing","Orazio Tomarchio
Domenico Calcaterra
Giuseppe Di Modica","10.1186/S13677-020-00194-7","https://link.springer.com/content/pdf/10.1186/s13677-020-00194-7.pdf","… initiatives falling under the theme cloud resource orchestration in the multi-cloud landscape. … We depicted the multi-cloud resource orchestration research scope as a big umbrella fully …","The number of both service providers operating in the cloud market and customers consuming cloud-based services is constantly increasing, proving that the cloud computing paradigm has successfully delivered its potential. Nevertheless, the unceasing growth of the cloud market is posing hard challenges on its participants. On the provider side, the capability of orchestrating resources in order to maximise profits without failing customers’ expectations is a matter of concern. On the customer side, the efficient resource selection from a plethora of similar services advertised by a multitude of providers is an open question. In such a multi-cloud landscape, several research initiatives advocate the employment of software frameworks (namely, cloud resource orchestration frameworks - CROFs) capable of orchestrating the heterogeneous resources offered by a multitude of cloud providers in a way that best suits the customer’s need. The objective of this paper is to provide the reader with a systematic review and comparison of the most relevant CROFs found in the literature, as well as to highlight the multi-cloud computing open issues that need to be addressed by the research community in the near future."
"A Survey on Hybrid and Multi-Cloud Environments: Integration Strategies, Challenges, and Future Directions","https://scispace.com/paper/z-6GpG8WgjQJ","","","","V Bitkuri
R Kendyala
J Kurma
JV Mamidala","","https://ijctece.com/index.php/IJCTEC/article/download/275/235","… scalable and resilient multi-cloud deployments. Additionally, … to implement robust multi-cloud integration frameworks while … understanding of hybrid and multi-cloud ecosystems, guiding …",""
"Kubernetes for Multi-Cloud and Hybrid Cloud: Orchestration, Scaling, and Security Challenges","https://scispace.com/paper/kubernetes-for-multi-cloud-and-hybrid-cloud-orchestration-7oef7rogrr3k","2025","Repository","Social Science Research Network","Bhanuprakash Madupati","10.2139/ssrn.5076649","https://www.researchgate.net/profile/Bhanuprakash-Madupati/publication/388427390_Kubernetes_for_Multi-Cloud_and_Hybrid_Cloud_Orchestration_Scaling_and_Security_Challenges/links/67a0f26a96e7fb48b9b10db7/Kubernetes-for-Multi-Cloud-and-Hybrid-Cloud-Orchestration-Scaling-and-Security-Challenges.pdf","… which it operates in a Multi-Cloud environment. It covers important … applications in a multi-cloud or hybridcloud environment. Security … across multi-cloud and hybrid cloud infrastructures, …",""
"A provider-agnostic approach to multi-cloud orchestration using a constraint language","https://scispace.com/paper/a-provider-agnostic-approach-to-multi-cloud-orchestration-3jp5e077cp","2018","Proceedings Article","IEEE/ACM International Symposium Cluster, Cloud and Grid Computing","Daniel Baur
Daniel Seybold
Frank Griesinger
Hynek Masata
Jörg Domaschka","10.1109/CCGRID.2018.00032","https://oparu.uni-ulm.de/bitstreams/e1c93695-f3b4-48e8-8e0d-e2f1189b2de9/download","Cloud computing and its computing as an utility paradigm provides on-demand resources allowing the seamless adaptation of applications to fluctuating demands. While the Cloud's …","Cloud computing and its computing as an utility paradigm provides on-demand resources allowing the seamless adaptation of applications to fluctuating demands While the Cloud's ongoing commercialisation has lead to a vast provider landscape, vendor lock-in is still a major hindrance Recent outages demonstrate that relying exclusively on one provider is not sufficient While existing cloud orchestration tools promise to solve the problems by supporting deployments across multiple cloud providers, they typically rely on provider dependent models forcing prior knowledge of offers and obstructing flexibility in case of errors We propose a cloud provider-agnostic application and resource description using a constraint language It allows users to express resource requirements of an application without prior knowledge of existing offers Additionally, we propose a discovery service automatically collecting available offers We combine this with a matchmaking algorithm representing the discovery model and the user-given constraints in a constraint satisfaction problem (CSP) that is then solved Finally, we manipulate this discovery model during runtime to react on errors Our evaluation shows that using a constraint-based language is a feasible approach to the provider selection problem, and that it helps to overcome vendor lock-in"
"Containerization in multi-cloud environment: roles, strategies, challenges, and solutions for effective implementation","https://scispace.com/paper/containerization-in-multi-cloud-environment-roles-strategies-19mzh3u6qf","2024","Journal Article","arXiv.org","Muhammad Waseem
Aakash Ahmad
Peng Liang
Muhammad Azeem Akbar
Arif Ali Khan
Iftikhar Ahmad
Manu Setälä
Tommi Mikkonen","10.48550/arxiv.2403.12980","https://arxiv.org/pdf/2403.12980","… in a multi-cloud environment facilitates workload portability and optimized resource utilization. Containerization in multi-cloud … aspects of containerization in multi-cloud environment. We …","Containerization in a multi-cloud environment facilitates workload portability and optimized resource utilization. Containerization in multi-cloud environments has received significant attention in recent years both from academic research and industrial development perspectives. However, there exists no effort to systematically investigate the state of research on this topic. The aim of this research is to systematically identify and categorize the multiple aspects of container utilization in multi-cloud environment. We conduct the Systematic Mapping Study (SMS) on the literature published between January 2013 and March 2023. Eighty-six studies were finally selected and the key results are: (1) Four leading themes on cloud computing and network systems research were identified: 'Scalability and High Availability', 'Performance and Optimization', 'Security and Privacy', and 'Multi-Cloud Container Monitoring and Adaptation'. (2) Seventy-four patterns and strategies for containerization in multi-cloud environment were classified across 10 subcategories and 4 categories. (3) Ten quality attributes considered were identified with 47 associated tactics. (4) Four distinct frameworks were introduced based on the analysis of identified challenges and solutions: a security challenge-solution framework, an automation challenge-solution framework, a deployment challenge-solution framework, and a monitoring challenge-solution framework. The results of this SMS will assist researchers and practitioners in pursuing further studies on containerization in multi-cloud environment and developing specialized solutions for challenges related to containerization applications in multi-cloud environment."
"Orchestration based hybrid or multi clouds and interoperability standardization","https://scispace.com/paper/orchestration-based-hybrid-or-multi-clouds-and-4zmux67s0h","2018","Proceedings Article","International Conference on Cloud Computing","Dinkar Sitaram
Sudheendra Harwalkar
Chetna Sureka
Harsh Garg
Manusarvathra Dinesh
Mayank Kejriwal
Shikhar Gupta
Vivek Kapoor","10.1109/CCEM.2018.00018","","… Abstract – In the present scenario, hybrid or multi-cloud … to setup a viable hybrid/multi-cloud environment. Currently, there are … In this paper, we explore few hybrid/multi cloud use cases …","In the present scenario, hybrid or multi-cloud environments are most suitable for Enterprises and Communities (like Government of India) for cloud bursting, disaster recovery, migration, and there is growing need for unified monitoring and management, however, it's challenging to setup a viable hybrid/multi-cloud environment. Currently, there are multiple solutions available in the market with limited success due to hidden drawbacks, for instance, vendor-lock-in, portability issues in migration, security threats and expensive in the long run and also, unfortunately, interoperability standardization is still work in progress. In this paper, we explore few hybrid/multi cloud use cases and demonstrate how these can be accomplished with our Federated Cloud Services Framework (middleware), which is built upon OpenStack [5], an open source cloud and by leveraging existing OpenStack functionalities."
"Towards secure cloud orchestration for multi-cloud deployments","https://scispace.com/paper/towards-secure-cloud-orchestration-for-multi-cloud-34zntq2ovl","2018","Proceedings Article","European Conference on Computer Systems","Nicolae Paladi
Antonis Michalas
Hai-Van Dang","10.1145/3195870.3195874","https://dl.acm.org/doi/pdf/10.1145/3195870.3195874","… Cloud orchestration frameworks are commonly used to de… of cloud orchestration frameworks for multicloud infrastructure. … security-enabled cloud orchestration framework for multi-cloud …","Cloud orchestration frameworks are commonly used to deploy and operate cloud infrastructure. Their role spans both vertically (deployment on infrastructure, platform, application and microservice levels) and horizontally (deployments from many distinct cloud resource providers). However, despite the central role of orchestration, the popular orchestration frameworks lack mechanisms to provide security guarantees for cloud operators. In this work, we analyze the security landscape of cloud orchestration frameworks for multi-cloud infrastructure. We identify a set of attack scenarios, define security enforcement enablers and propose an architecture for a security-enabled cloud orchestration framework for multi-cloud application deployments."
"Understanding the challenges and novel architectural models of multi-cloud native applications–a systematic literature review","https://scispace.com/paper/Hl9ryhAmaZoJ","","","","J Alonso
L Orue-Echevarria
V Casola
AI Torre","","https://link.springer.com/content/pdf/10.1186/s13677-022-00367-6.pdf","… different meanings of the term multi-cloud “hybrid-cloud” used in the literature. … multi-cloud or hybrid cloud are applied. Differences in the meaning itself can also exist, ie: 1) multi-cloud …",""
"An overview of multi-cloud computing","https://scispace.com/paper/an-overview-of-multi-cloud-computing-5c50sn81ug","2019","Book Chapter","Advanced Information Networking and Applications","Jiangshui Hong
Thomas Dreibholz
Joseph Adam Schenkel
Jiaxi Alessia Hu","10.1007/978-3-030-15035-8_103","https://web-backend.simula.no/sites/default/files/2024-06/M2EC2019-MultiCloud.pdf","… of the art in multi-cloud computing and review open … multi-cloud computing addresses some of these issues, and inspire community excitement at the future integration of multi-cloud …","The purpose of this paper is to provide a brief overview of cloud computing technologies, particularly with respect to multi-cloud networks. First, the basics of cloud computing concepts are discussed. Next we outline some challenges facing cloud computing, and discuss how multi-cloud systems including multi-clouds, hybrid clouds, federated clouds, and cross-clouds may be used to deal with some of these issues. Finally, multi-cloud systems may also be used in conjunction with new developing technologies such as Big Data and Machine Learning, leading to exciting innovations. These are reviewed in brief. Our goal is to provide a modern look at the state of the art in multi-cloud computing and review open issues in the field. The goal is that this paper will help the reader to understand challenges facing cloud computing, how multi-cloud computing addresses some of these issues, and inspire community excitement at the future integration of multi-cloud platforms with other novel technologies."
"Multi-cloud: expectations and current approaches","https://scispace.com/paper/multi-cloud-expectations-and-current-approaches-fez8wotkth","2013","Proceedings Article","","Dana Petcu","10.1145/2462326.2462328","https://dl.acm.org/doi/pdf/10.1145/2462326.2462328","… delimit the MultiCloud from other multiple Clouds models. We agree with the statement that there are two types of delivery models in multiple Clouds: Federated Cloud and Multi-Cloud. …","Using resources and services from multiple Clouds is a natural evolution from consuming the ones from in-silo Clouds. Technological and administrative barriers are however slowing the process. Fortunately the recent years are marked by the appearance of several solutions that are partially overpassing them. However, the approaches are quite various and not adopted at large scale. This paper intends to offer a snapshot of the current state-of-the-art and to identify the future steps in building Multi-Clouds. A list of basic requirements for a Multi-Cloud is proposed."
