"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A drift correction procedure","https://scispace.com/paper/a-drift-correction-procedure-jsr8a2zya9","1998","Journal Article","Analytical Chemistry","Marc L. Salit
Gregory C. Turk","10.1021/AC980095B","https://scispace.com/pdf/a-drift-correction-procedure-jsr8a2zya9.pdf","A procedure is introduced that can mitigate the deleterious effect of low-frequency noise often termed drift on the precision of an analytical experiment. This procedure offers several …","A procedure is introduced that can mitigate the deleterious effect of low-frequency noiseoften termed drifton the precision of an analytical experiment. This procedure offers several performance benefits over traditional designs based on the periodic measurement of standards to diagnose and correct for variation in instrument response. Using repeated measurements of every sample as a drift diagnostic, as opposed to requiring the periodic measurement of any given sample or standard, the analyst can better budget the measurement time to be devoted to each sample, distributing it to optimize the uncertainty of the analytical result. The drift is diagnosed from the repeated measurements, a model of the instrument response drift is constructed, and the data are corrected to a “drift-free” condition. This drift-free condition allows data to be accumulated over long periods of time with little or no loss in precision due to drift. More than 10-fold precision enhancements of analytical atomic emission results hav..."
"Drift correction for gas sensors using multivariate methods","https://scispace.com/paper/drift-correction-for-gas-sensors-using-multivariate-methods-2tw4wrsh1q","2000","Journal Article","Journal of Chemometrics","Tom Artursson
Tomas Eklöv
Ingemar Lundström
Per Mårtensson
Michael Sjöström
Martin Holmberg","10.1002/1099-128X(200009/12)14:5/6<711::AID-CEM607>3.0.CO;2-4","","… This paper introduces a new drift correction routine, based on PCA and PLS algorithms, called component correction (CC). The new approach reduces the drift in such a way that the …","Drift is one of the most serious impairments afflicting gas sensors. It can be seen as a gradual change in the sensor response over a long period of time when the external conditions an constant. T ..."
"Self‐healing materials","https://scispace.com/paper/self-healing-materials-121vbgyq4t","2012","Reference Entry","","Michael W. Keller","10.1002/9781118097298.WEOC219","","Self‐healing materials are able to partially or completely heal damage inflicted on them, eg, crack formation; it is anticipated that the original functionality can be restored. This article …","This article discusses the current developments and advances for the incorporation of a damage repair mechanism in composite materials. There are several approaches for imparting this functionality, but each approach can be described as belonging to one of two broad families, an active-phase mechanism or an active-matrix mechanism. Active-phase mechanisms incorporate another phase into the composite material, besides reinforcement and matrix, to accomplish damage repair. Active-matrix self-healing materials seek to incorporate a fundamental chemical phenomenon, such as reversible bonds, that can perform damage repair. Each of these approaches is described in detail including both the manufacturing or synthesis techniques and the material characterization approaches that have been adopted to assess self-healing capability. A brief summary and outlook is also provided that describes the current challenges and maturity of the field.


Keywords:

self-healing composite;
microencapsulation;
remendable polymer;
hollow fiber;
damage repair"
"Self-healing materials: a review","https://scispace.com/paper/self-healing-materials-a-review-53s2wg9e9o","2008","Journal Article","Soft Matter","Richard P. Wool","10.1039/B711716G","https://www.researchgate.net/profile/R-Wool/publication/228525532_Self-healing_materials_A_review/links/0f3175303da2c8b8c3000000/Self-healing-materials-A-review.pdf","The ability of materials to self-heal from mechanical and thermally induced damage is explored in this paper and has significance in the field of fracture and fatigue. The history and …","The ability of materials to self-heal from mechanical and thermally induced damage is explored in this paper and has significance in the field of fracture and fatigue. The history and evolution of several self-repair systems is examined including nano-beam healing elements, passive self-healing, autonomic self-healing and ballistic self-repair. Self-healing mechanisms utilized in the design of these unusual materials draw much information from the related field of polymer–polymer interfaces and crack healing. The relationship of material damage to material healing is examined in a manner to provide an understanding of the kinetics and damage reversal processes necessary to impart self-healing characteristics. In self-healing systems, there are transitions from hard-to-soft matter in ballistic impact and solvent bonding and conversely, soft-to-hard matter transitions in high rate yielding materials and shear-thickening fluids. These transitions are examined in terms of a new theory of the glass transition and yielding, viz., the twinkling fractal theory of the hard-to-soft matter transition. Success in the design of self-healing materials has important consequences for material safety, product performance and enhanced fatigue lifetime."
"A surprise from 1954: siloxane equilibration is a simple, robust, and obvious polymer self-healing mechanism","https://scispace.com/paper/a-surprise-from-1954-siloxane-equilibration-is-a-simple-2vdn6we1tl","2012","Journal Article","Journal of the American Chemical Society","Peiwen Zheng
Thomas J. McCarthy","10.1021/JA2113257","","… from the 1950s that suggest that this self-healing behavior was likely obvious 60 years ago. … of offering exceptionally strong qualitative evidence of self-healing. A dog bone-shaped …","Tetramethylammonium silanolate-initiated ring-opening copolymerization of octamethylcyclotetrasiloxane (D4) and bis(heptamethylcyclotetrasiloxanyl)ethane (bis-D4) renders cross-linked network polymers that contain ethylene bridges and active silanolate end groups. These “living” reactive anionic species are not neutralized by ambient atmosphere exposure (are stable to water, oxygen, CO2) and promote thermally activated equilibration among different network isomers and cyclic oligomers. The cross-link density of these living networks can be controlled by the ratio of D4:bis-D4, and the density of active chain ends is determined from the initiator:monomer ratio. We report that samples prepared with particular ratios of initiator:D4:bis-D4 can be cut with a sharp knife, even into two pieces, and can heal by siloxane equilibration to restore the original strength of the silicone sample. Fracture toughness measurements were carried out and revealed complete (mechanical) healing. Broken and healed samples gener..."
"Self-healing polymeric materials","https://scispace.com/paper/self-healing-polymeric-materials-39bypfev3h","2013","Journal Article","Chemical Society Reviews","Ying Yang
Marek W. Urban","10.1039/C3CS60109A","","… of self-healing polymers. The first part discusses thermodynamic requirements for self-healing … The second part focuses on chemical reactions that lead to self-healing, and the primary …","Inspired by nature, self-healing materials represent the forefront of recent developments in materials chemistry and engineering. This review outlines the recent advances in the field of self-healing polymers. The first part discusses thermodynamic requirements for self-healing networks in the context of conformation changes that contribute to the Gibbs free energy. The chain flexibility significantly contributes to the entropy changes, whereas the heat of reaction and the external energy input are the main contributors to enthalpy changes. The second part focuses on chemical reactions that lead to self-healing, and the primary classes are the covalent bonding, supramolecular assemblies, ionic interactions, chemo-mechanical self-healing, and shape memory polymers. The third part outlines recent advances using encapsulation, remote self-healing and the role of shape memory polymers. Recent developments in the field of self-healing polymers undeniably indicate that the main challenge will be the designing of high glass transition (Tg) functional materials, which also exhibit stimuli-responsive attributes. Build-in controllable hierarchical heterogeneousness at various length scales capable of remote self-healing by physical and chemical responses will be essential in designing future materials of the 21st century."
"Frequency and phase drift correction of magnetic resonance spectroscopy data by spectral registration in the time domain","https://scispace.com/paper/frequency-and-phase-drift-correction-of-magnetic-resonance-4ayddbfebg","2015","Journal Article","Magnetic Resonance in Medicine","Jamie Near
Richard A.E. Edden
Christopher John Evans
R Paquin
Ashley D. Harris
Peter Jezzard","10.1002/MRM.25094","https://pmc.ncbi.nlm.nih.gov/articles/PMC5851009/pdf/nihms942582.pdf","… both before and after drift correction. The use of drift correction resulted in a reduction in the … the residual water peak from 8.2 Hz (before drift correction) to 5.6 Hz (after drift correction). …","Purpose

Frequency and phase drifts are a common problem in the acquisition of in vivo magnetic resonance spectroscopy (MRS) data If not accounted for, frequency and phase drifts will result in artifactual broadening of spectral peaks, distortion of spectral lineshapes, and a reduction in signal-to-noise ratio (SNR) We present herein a new method for estimating and correcting frequency and phase drifts in in vivo MRS data



Methods

We used a simple method of fitting each spectral average to a reference scan (often the first average in the series) in the time domain through adjustment of frequency and phase terms Due to the similarity with image registration, this method is referred to as “spectral registration” Using simulated data with known frequency and phase drifts, the performance of spectral registration was compared with two existing methods at various SNR levels



Results

Spectral registration performed well in comparison with the other methods tested in terms of both frequency and phase drift estimation



Conclusions

Spectral registration provides an effective method for frequency and phase drift correction It does not involve the collection of navigator echoes, and does not rely on any specific resonances, such as residual water or creatine, making it highly versatile Magn Reson Med 73:44–50, 2015 © 2014 Wiley Periodicals, Inc"
"Chemical and physical aspects of self-healing materials","https://scispace.com/paper/chemical-and-physical-aspects-of-self-healing-materials-2szbe10gas","2015","Journal Article","Progress in Polymer Science","Ying Yang
Xiaochu Ding
Marek W. Urban","10.1016/J.PROGPOLYMSCI.2015.06.001","https://www.academia.edu/download/43269050/2015-Self-healing_materials_review.pdf","… The concept of self-healing synthetic materials emerged a … physical processes occurring during self-healing of polymers as … The complex nature of processes involved in self-healing …",""
"Self-healing structural composite materials","https://scispace.com/paper/self-healing-structural-composite-materials-4wonigopl1","2003","Journal Article","Composites Part A-applied Science and Manufacturing","Michael R. Kessler
Nancy R. Sottos
Scott R. White","10.1016/S1359-835X(03)00138-6","https://scispace.com/pdf/self-healing-structural-composite-materials-4wonigopl1.pdf","A self-healing fiber-reinforced structural polymer matrix composite material is demonstrated. In the composite, a microencapsulated healing agent and a solid chemical catalyst are …","A self-healing fiber-reinforced structural polymer matrix composite material is demonstrated. In the composite, a microencapsulated healing agent and a solid chemical catalyst are dispersed within the polymer matrix phase. Healing is triggered by crack propagation through the microcapsules, which then release the healing agent into the crack plane. Subsequent exposure of the healing agent to the chemical catalyst initiates polymerization and bonding of the crack faces. Self-healing (autonomic healing) is demonstrated on width-tapered double cantilever beam fracture specimens in which a mid-plane delamination is introduced and then allowed to heal. Autonomic healing at room temperature yields as much as 45% recovery of virgin interlaminar fracture toughness, while healing at 80 °C increases the recovery to over 80%. The in situ kinetics of healing in structural composites is investigated in comparison to that of neat epoxy resin."
"Self-healing polymers","https://scispace.com/paper/self-healing-polymers-15q4lmhnra","2015","Book Chapter","","Timothy C. Mauldin
Dylan J. Boday","10.1002/9783527674107.CH36","https://par.nsf.gov/servlets/purl/10233054","Self-healing is the capability of a material to recover from physical damage. Both physical and chemical approaches have been used to construct self-healing polymers. These include …",""
