"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Compliance","https://scispace.com/paper/compliance-3tx770y8bn","1960","Journal Article","","B Blackwell","10.1097/00000542-196001000-00089","","… The word ‘compliance’ did not even enter the official medical … compliance has become a topic of intense investigation and debate. The first two international conferences on compliance …",""
"Governance","https://scispace.com/paper/ZjLHwHJSEh0J","","","","AM Kjaer","","","… Bringing the state back in Models of economic governance The developmental state ‘Good governance’ in the development community Governance … Conditions for effective governance …",""
"Understanding governance: Ten years on","https://scispace.com/paper/understanding-governance-ten-years-on-2d99uox5v5","2007","Journal Article","Organization Studies","Roderick Rhodes","10.1177/0170840607076586","https://www.researchgate.net/profile/R-A-W-Rhodes/publication/233870082_Understanding_Governance_Policy_Networks_Governance_Reflexivity_and_Accountability/links/56e2725e08ae03f0278eeffe/Understanding-Governance-Policy-Networks-Governance-Reflexivity-and-Accountability.pdf","… I argue the analysis of governance should focus on beliefs, practices, traditions and … governance by summarizing the key concepts. I show how the analysis of networks and governance …","The paper reassesses the argument in Understanding Governance (1997). The first section summarizes where we are now in the study of governance, reviewing briefly the key concepts of policy networks, governance, core executive, hollowing out the state and the differentiated polity. The second section engages with my critics with the aim of opening new directions of research. I concentrate on the key issues of: the context of policy networks, explaining change and the role of ideas, the decline of the state, rescuing the core executive, and steering networks. Under each heading, I sketch a decentred answer to the question of where we go from here. I argue the analysis of governance should focus on beliefs, practices, traditions and dilemmas."
"How do you improve compliance?","https://scispace.com/paper/how-do-you-improve-compliance-smqacf2gmu","2005","Journal Article","Pediatrics","Sheldon Winnick
David O. Lucas
Adam L. Hartman
Adam L. Hartman
David Toll","10.1542/PEDS.2004-1133","","… Poor compliance places children at risk for problems such as continued disease, … of and barriers to compliance and provides general principles to improve compliance in pediatrics by …","Compliance, or adherence, as it relates to health care is the extent to which a person's behavior coincides with medical or health advice. Medication compliance is critical for all aspects of pediatrics, specifically in successful treatment, disease prevention, and health promotion. Compliance depends on the patient's and physician's committing to the same objectives. It is unfortunate that numerous studies and physician accounts reveal difficulties in achieving compliance with pediatric medication therapy. Medication compliance in pediatric patients ranges from 11% to 93%. At least one third of all patients fail to complete relatively short-term treatment regimens. Poor compliance places children at risk for problems such as continued disease, complicates the physician-patient relationship, and prevents accurate assessment of the quality of care provided. This article presents the issue in the context of its incidence of and barriers to compliance and provides general principles to improve compliance in pediatrics by improving communication and characteristics of the practice setting. A one-on-one relationship between physician and patient is needed for communication and improved compliance."
"On compliance","https://scispace.com/paper/_bNMinoru8YJ","","","","A Chayes
AH Chayes","","https://cdck-file-uploads-global.s3.dualstack.us-west-2.amazonaws.com/free1/uploads/gestgov1/original/1X/9d27d2aa5d4b0341a40492fa70d6b8fc7934e726.pdf","A new dialogue is beginning between students of international law and international relations scholars concerning compliance with international agreements. This article advances …",""
"Governance matters","https://scispace.com/paper/governance-matters-3q7deydmw2fd","2020","Journal Article","Report of the United Nations Joint Staff Pension Board","D Kaufmann
A Kraay
P Zoido","10.18356/9789211068993c013","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=188568","… Recent interest in the consequences of governance for development outcomes has been accompanied by a proliferation of data measuring various aspects of governance. In this paper …",""
"Democratic governance","https://scispace.com/paper/democratic-governance-3l59n2ue","2022","Journal Article","Demokratične vrâduvannâ","M Bevir","10.23939/dg","","… Mark Bevir shows how new ideas about governance have … Bevir explores how new theories of governance undermined … different idea of governance--and democracy has suffered. …",""
"The governance perspective","https://scispace.com/paper/the-governance-perspective-4plawdlop5","2005","Other","","Jan Kooiman
Maarten Bavinck","10.1017/9789048505326.002","https://library.oapen.org/bitstream/handle/20.500.12657/35130/340216.pdf?sequence=1#page=12","… governance network (FISHGOVFOOD), of which this volume is a result, was to develop and to share a new, interactive perspective on the governance of … dynamics of governance issues …",""
"GOVERNANCE AS","https://scispace.com/paper/rKRsVNIKtgcJ","","","","B PETERS","","http://revista.tcu.gov.br/ojs/index.php/RTCU/article/download/87/85","… governance but, rather, to make a substantially stronger claim about this concept. This claim is that, if conceptualized adequately, then governance … an emphasis on governance enables …",""
"Governance: From theory to practice","https://scispace.com/paper/governance-from-theory-to-practice-4m993nzowp","2009","Book Chapter","","Vasudha Chhotray
Gerry Stoker","10.1057/9780230583344_10","","… challenges involved in designing governance solutions than those that … governance is necessary if we are to equip ourselves to better analyse and appreciate the practice of governance…","Governance is concerned with the practice of making collective decisions. Governance theory, as such, has both an explanatory dimension and an advisory character. This twin theory-practice focus justifies the core intellectual pursuit of the book, which is to delineate not only the development but also the application of governance theory. The book explores governance theory from a cross-disciplinary perspective and offers those interested in governance access to some of the valuable analytical tools that each discipline has to offer in its distinctive treatment of the idea of governance."
