"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Learning with drift detection","https://scispace.com/paper/learning-with-drift-detection-1ayss5828j","2004","Book Chapter","Brazilian Symposium on Artificial Intelligence","João Gama
Pedro Medas
Gladys Castillo
Gladys Castillo
Pedro Pereira Rodrigues","10.1007/978-3-540-28645-5_29","https://sweet.ua.pt/gladys/Papers/GamaMedasCastilloRodriguesSBIA04.pdf","Most of the work in machine learning assume that examples are generated at random according to some stationary probability distribution. In this work we study the problem of learning …","Most of the work in machine learning assume that examples are generated at random according to some stationary probability distribution. In this work we study the problem of learning when the distribution that generate the examples changes over time. We present a method for detection of changes in the probability distribution of examples. The idea behind the drift detection method is to control the online error-rate of the algorithm. The training examples are presented in sequence. When a new training example is available, it is classified using the actual model. Statistical theory guarantees that while the distribution is stationary, the error will decrease. When the distribution changes, the error will increase. The method controls the trace of the online error of the algorithm. For the actual context we define a warning level, and a drift level. A new context is declared, if in a sequence of examples, the error increases reaching the warning level at example k w , and the drift level at example k d . This is an indication of a change in the distribution of the examples. The algorithm learns a new model using only the examples since k w . The method was tested with a set of eight artificial datasets and a real world dataset. We used three learning algorithms: a perceptron, a neural network and a decision tree. The experimental results show a good performance detecting drift and with learning the new concept. We also observe that the method is independent of the learning algorithm."
"An experimental evaluation of process concept drift detection","https://scispace.com/paper/an-experimental-evaluation-of-process-concept-drift-1d7lkili","2023","Journal Article","Proceedings of The Vldb Endowment","Jan Niklas Adams
Cameron Pitsch
T. Brockhoff
Wil M. P. van der Aalst","10.14778/3594512.3594517","https://www.vldb.org/pvldb/vol16/p1856-adams.pdf","… Given our classification of the process concept drift detection approaches, we selected the … Furthermore, we focused on works for offline drift detection. Therefore, the approaches using …","
 Process mining provides techniques to learn models from event data. These models can be descriptive (e.g., Petri nets) or predictive (e.g., neural networks). The learned models offer operational support to process owners by conformance checking, process enhancement, or predictive monitoring. However, processes are frequently subject to significant changes, making the learned models outdated and less valuable over time. To tackle this problem,
 Process Concept Drift
 (PCD) detection techniques are employed. By identifying when the process changes occur, one can replace learned models by relearning, updating, or discounting pre-drift knowledge. Various techniques to detect PCDs have been proposed. However, each technique's evaluation focuses on different evaluation goals out of accuracy, latency, versatility, scalability, parameter sensitivity, and robustness. Furthermore, the employed evaluation techniques and data sets differ. Since many techniques are not evaluated against more than one other technique, this lack of comparability raises one question:
 How do PCD detection techniques compare against each other?
 With this paper, we propose, implement, and apply a unified evaluation framework for PCD detection. We do this by collecting evaluation goals and evaluation techniques together with data sets. We derive a representative sample of techniques from a taxonomy for PCD detection. The implemented techniques and proposed evaluation framework are provided in a publicly available repository. We present the results of our experimental evaluation and observe that none of the implemented techniques works well across all evaluation goals. However, the results indicate future improvement points of algorithms and guide practitioners.
"
"An overview of unsupervised drift detection methods","https://scispace.com/paper/an-overview-of-unsupervised-drift-detection-methods-36nvlb8r4c","2020","Journal Article","Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","Rosana Noronha Gemaque
Albert Franca Josua Costa
Rafael Giusti
Eulanda Miranda dos Santos","10.1002/WIDM.1381","https://wires.onlinelibrary.wiley.com/doi/pdf/10.1002/widm.1381","… Since we focus on the analysis of more recent characteristics of unsupervised drift detection … drift detection methods and (b) we categorize methods according to how the drift detection is …","Practical applications involving big data, such as weather monitoring, identification of customer preferences, Internet log analysis, and sensors warnings require challenging data analysis, since these are examples of problems whose data are generated in streams and usually demand real-time analytics. Patterns in such data stream problems may change quickly. Consequently, machine learning models that operate in this context must be updated over time. This phenomenon is called concept drift in machine learning and data mining literature. Several different directions have been pursued to learn from data stream and to deal with concept drift. However, most drift detection methods consider that an instance's class label is available right after its prediction, since these methods work by monitoring the prediction results of a base classifier or an ensemble of classifiers. Nevertheless, this constraint is unrealistic in several practical problems. To cope with this constraint, some works are focused on proposing efficient unsupervised or semi-supervised concept drift detectors. While interesting and recent overview papers dedicated to supervised drift detectors have been published, the scenario is not the same in terms of unsupervised methods. Therefore, this work presents a comprehensive overview of approaches that tackle concept drift in classification problems in an unsupervised manner. Additional contribution includes a proposed taxonomy of state-of-the-art approaches for concept drift detection based on unsupervised strategies. This article is categorized under: Technologies > Classification Technologies > Machine Learning. © 2020 The Authors. WIREs Data Mining and Knowledge Discovery published by Wiley Periodicals LLC."
"Early drift detection method","https://scispace.com/paper/early-drift-detection-method-4h4kfgtdrv","2005","","","Manuel Baena-Garc
Jose del Campo ¶ Avila
Albert Bifet
Ricard Gavald
Rafael Morales-Bueno","","https://www.academia.edu/download/48905428/Early_Drift_Detection_Method_20160917-1085-1m513qn.pdf","An emerging problem in Data Streams is the detection of concept drift. This problem is aggravated when the drift is gradual over time. In this work we define a method for detecting …","An emerging problem in Data Streams is the detection of concept drift. This problem is aggravated when the drift is gradual over time. In this work we deflne a method for detecting concept drift, even in the case of slow gradual change. It is based on the estimated distribution of the distances between classiflcation errors. The proposed method can be used with any learning algorithm in two ways: using it as a wrapper of a batch learning algorithm or implementing it inside an incremental and online algorithm. The experimentation results compare our method (EDDM) with a similar one (DDM). Latter uses the error-rate instead of distance-error-rate."
"Concept drift detection through resampling","https://scispace.com/paper/concept-drift-detection-through-resampling-o0menodjfs","2014","Proceedings Article","International Conference on Machine Learning","Maayan Harel
Shie Mannor
Ran El-Yaniv
Koby Crammer","","http://proceedings.mlr.press/v32/harel14.pdf","Detecting changes in data-streams is an important part of enhancing learning quality in dynamic environments. We devise a procedure for detecting concept drifts in data-streams that …","Detecting changes in data-streams is an important part of enhancing learning quality in dynamic environments. We devise a procedure for detecting concept drifts in data-streams that relies on analyzing the empirical loss of learning algorithms. Our method is based on obtaining statistics from the loss distribution by reusing the data multiple times via resampling. We present theoretical guarantees for the proposed procedure based on the stability of the underlying learning algorithms. Experimental results show that the method has high recall and precision, and performs well in the presence of noise."
"Adaptive concept drift detection","https://scispace.com/paper/adaptive-concept-drift-detection-1am6h85sen","2009","Journal Issue","Statistical Analysis and Data Mining","Anton Dries
Ulrich Rückert","10.1002/SAM.V2:5/6","https://epubs.siam.org/doi/pdf/10.1137/1.9781611972795.21","… bounds in learning theory can be adjusted for adaptive concept drift detection. In particular, we present three novel drift detection tests, whose test statistics are dynamically adapted to …","An established method to detect concept drift in data streams is to perform statistical hypothesis testing on the multivariate data in the stream. The statistical theory offers rank-based statistics for this task. However, these statistics depend on a fixed set of characteristics of the underlying distribution. Thus, they work well whenever the change in the underlying distribution affects the properties measured by the statistic, but they perform not very well, if the drift influences the characteristics caught by the test statistic only to a small degree. To address this problem, we show how uniform convergence bounds in learning theory can be adjusted for adaptive concept drift detection. In particular, we present three novel drift detection tests, whose test statistics are dynamically adapted to match the actual data at hand. The first one is based on a rank statistic on density estimates for a binary representation of the data, the second compares average margins of a linear classifier induced by the 1-norm support vector machine (SVM), and the last one is based on the average zero-one, sigmoid or stepwise linear error rate of an SVM classifier. We compare these new approaches with the maximum mean discrepancy method, the StreamKrimp system, and the multivariate Wald–Wolfowitz test. The results indicate that the new methods are able to detect concept drift reliably and that they perform favorably in a precision-recall analysis. Copyright © 2009 Wiley Periodicals, Inc. Statistical Analysis and Data Mining 2: 311-327, 2009"
"Flexible consistency checking","https://scispace.com/paper/flexible-consistency-checking-29qaql6lsf","2003","Journal Article","ACM Transactions on Software Engineering and Methodology","Christian Nentwich
Wolfgang Emmerich
Anthony Finkelsteiin
Ernst Ellmer","10.1145/839268.839271","https://dl.acm.org/doi/pdf/10.1145/839268.839271","The problem of managing the consistency of heterogeneous, distributed software engineering documents is central to the development of large and complex systems. We show how this …","The problem of managing the consistency of heterogeneous, distributed software engineering documents is central to the development of large and complex systems. We show how this problem can be addressed using xlinkit, a lightweight framework for consistency checking that leverages standard Internet technologies. xlinkit provides flexibility, strong diagnostics, and support for distribution and document heterogeneity. We use xlinkit in a comprehensive case study that demonstrates how design, implementation and deployment information of an Enterprise JavaBeans system can be checked for consistency, and rechecked incrementally when changes are made."
"Visual drift detection for event sequence data of business processes","https://scispace.com/paper/visual-drift-detection-for-event-sequence-data-of-business-3pq1fafp1h","2020","Journal Article","arXiv: Human-Computer Interaction","Anton Yeshchenko
Claudio Di Ciccio
Jan Mendling
Artem Polyvyanyy","10.1109/TVCG.2021.3050071","https://arxiv.org/pdf/2011.09130","… Specifically, we develop a novel system for process drift detection, named Visual Drift Detection (VDD), which addresses the identified research gap. Our system aims to support process …","Event sequence data is increasingly available in various application domains, such as business process management, software engineering, or medical pathways. Processes in these domains are typically represented as process diagrams or flow charts. So far, various techniques have been developed for automatically generating such diagrams from event sequence data. An open challenge is the visual analysis of drift phenomena when processes change over time. In this paper, we address this research gap. Our contribution is a system for fine-granular process drift detection and corresponding visualizations for event logs of executed business processes. We evaluated our system both on synthetic and real-world data. On synthetic logs, we achieved an average F-score of 0.96 and outperformed all the state-of-the-art methods. On real-world logs, we identified all types of process drifts in a comprehensive manner. Finally, we conducted a user study highlighting that our visualizations are easy to use and useful as perceived by process mining experts. In this way, our work contributes to research on process mining, event sequence analysis, and visualization of temporal data."
"Concept drift detection for streaming data","https://scispace.com/paper/concept-drift-detection-for-streaming-data-4xn2iqps5l","2015","Proceedings Article","International Joint Conference on Neural Network","Heng Wang
Zubin Abraham","10.1109/IJCNN.2015.7280398","https://arxiv.org/pdf/1504.01044","Common statistical prediction models often require and assume stationarity in the data. However, in many practical applications, changes in the relationship of the response and …","Common statistical prediction models often require and assume stationarity in the data However, in many practical applications, changes in the relationship of the response and predictor variables are regularly observed over time, resulting in the deterioration of the predictive performance of these models This paper presents Linear Four Rates (LFR), a framework for detecting these concept drifts and subsequently identifying the data points that belong to the new concept (for relearning the model) Unlike conventional concept drift detection approaches, LFR can be applied to both batch and stream data; is not limited by the distribution properties of the response variable (eg, datasets with imbalanced labels); is independent of the underlying statistical-model; and uses user-specified parameters that are intuitively comprehensible The performance of LFR is compared to benchmark approaches using both simulated and commonly used public datasets that span the gamut of concept drift types The results show LFR significantly outperforms benchmark approaches in terms of recall, accuracy and delay in detection of concept drifts across datasets"
"RDDM: Reactive drift detection method","https://scispace.com/paper/rddm-reactive-drift-detection-method-3dqroh5i0c","2017","Journal Article","Expert Systems With Applications","Roberto Souto Maior de Barros
Danilo Rafael de Lima Cabral
Paulo Mauricio Gonçalves
Silas Garrido Teixeira de Carvalho Santos","10.1016/J.ESWA.2017.08.023","https://www.researchgate.net/profile/Roberto-Barros-4/publication/319166247_RDDM_Reactive_drift_detection_method/links/5acf4ea20f7e9b18965b155c/RDDM-Reactive-drift-detection-method.pdf","Abstract Concept drift detectors are online learning software that mostly attempt to estimate the drift positions in data streams in order to modify the base classifier after these changes …","Concept drift detectors are online learning software that mostly attempt to estimate the drift positions in data streams in order to modify the base classifier after these changes and improve accuracy. This is very important in applications such as the detection of anomalies in TCP/IP traffic and/or frauds in financial transactions. Drift Detection Method (DDM) is a simple, efficient, well-known method whose performance is often impaired when the concepts are very long. This article proposes the Reactive Drift Detection Method (RDDM) , which is based on DDM and, among other modifications, discards older instances of very long concepts aiming to detect drifts earlier, improving the final accuracy. Experiments run in MOA, using abrupt and gradual concept drift versions of different dataset generators and sizes (48 artificial datasets in total), as well as three real-world datasets, suggest RDDM beats the accuracy results of DDM, ECDD, and STEPD in most scenarios."
