"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Kubernetes","https://scispace.com/paper/kubernetes-33ewnrnm","2022","Book Chapter","","William J. Severud","10.1007/978-1-4842-7996-0_14","https://dzone.com/storage/attachments/14131598-dzone-kubernetesbundle.pdf","When a pod is created, Kubernetes will monitor it and automatically restart it if a process terminates. In addition, Kubernetes can be configured to attempt to connect to a container over …","Kubernetes is a popular container orchestration framework. It runs containers on Linux machines (virtual or physical) based on various parameters. "
"Kubernetes in action","https://scispace.com/paper/kubernetes-in-action-536jmzg4pd","2018","Book","","Marko Lukša","","","… Kubernetes quickly to set a proper direction for our software and take advantage of everything Kubernetes … were doing things wrong or merely hitting one of the early Kubernetes bugs. …",""
"The control of flux","https://scispace.com/paper/the-control-of-flux-3aczy4fazf","1973","Journal Article","Symposia of the Society for Experimental Biology","Henrik Kacser
J A Burns","","https://m.productshows.com/quantitative-medicine/wp-content/uploads/sites/117/2016/08/KacserBurns1973_21yearsOn_Pedro.pdf","… Let us take a flux through a pathway and focus our attention on one of the … in flux which may be caused, this would be a relevant obervation. We would get an idea how sensitive the flux …","Molecular Enzymology Group Colloquium Organized by D. Fell (School of Biological and Molecular Sciences, Oxford Brooke University) and D. Kell (Department of Biological Sciences, University College, Wales, Aberystwyth), Edited by D. Fell and Sponsored by Xenova Ltd, Zeneca Bioproducts, Glaxo Research and Development Ltd and SmithKline Beecham Pharmaceuticals. 653rd Meeting held at the University of Sussex on I 3I 6 December 1994."
"A review of flux-profile relationships","https://scispace.com/paper/a-review-of-flux-profile-relationships-3k6cw5fqsq","1974","Journal Article","Boundary-Layer Meteorology","A. J. Dyer","10.1007/BF00240838","http://www.climatexchange.nl/projects/alteddy/papers/Dyer-1974.pdf","… Flux-profile relationships in the constant flux layer are reviewed. The preferred relationships are found to be those of Dyer and Hicks (1970), namely, φ H =φ W =(1−16(z/L)) −1/2 , φ M =(…","Flux-profile relationships in the constant flux layer are reviewed The preferred relationships are found to be those of Dyer and Hicks (1970), namely, φ

 H
 =φ

 W
 =(1−16(z/L))−1/2, φ

 M
 =(1−16(z/L))−1/4 for the unstable region, and φ

 H
 =φ

 W
 =φ

 M
 = 1+5(z/L) for the stable region The carefully determined results of Businger et al (1971) remain a difficulty which calls for considerable clarification"
"End-To-End Automation of Multi-Cloud Deployments Using Terraform, Ansible, and Kubernetes","https://scispace.com/paper/end-to-end-automation-of-multi-cloud-deployments-using-cq2x3viq5uth","2020","Journal Article","International journal of innovative research in engineering & multidisciplinary physical sciences","Ravi Chandra Thota -","10.37082/ijirmps.v8.i4.232184","https://www.researchgate.net/profile/Ravi-Chandra-Thota-2/publication/390128123_End-To-End_Automation_of_Multi-Cloud_Deployments_Using_Terraform_Ansible_and_Kubernetes/links/67e17e8be62c604a0d11b3c5/End-To-End-Automation-of-Multi-Cloud-Deployments-Using-Terraform-Ansible-and-Kubernetes.pdf","… deployments integrating Terraform with Ansible and Kubernetes. … The primary function of Terraform is to provide an automation … and repeatedly through Terraform because they define …","Organizations now adopt multi-cloud strategies because cloud computing development enabled them to choose multiple cloud service providers for better performance combined with cost-effectiveness and reliability. The need for IT agility and organizational scalability creates a problematic situation for managing various cloud environments. The document investigates detailed automation solutions for multi-cloud deployments integrating Terraform with Ansible and Kubernetes. Organizations achieve better business response capabilities by combining these strong automation tools, optimizing deployment streamlining while managing resources better and minimizing operational expenses. The primary function of Terraform is to provide an automation framework backbone that enables IaC infrastructure provisioning. Users can deploy cloud infrastructure consistently and repeatedly through Terraform because they define resources in declarative codes that work across major cloud providers. The ability to streamline cloud management across multiple platforms becomes more effective through this feature when operating in a multi-cloud environment. The automation process reaches a higher degree of robustness when using Ansible alongside its configuration management and application deployment capabilities. With a structure that needs no agent, Ansible provides users with straightforward orchestration processes between different platforms, ensuring they can easily manage their resources regardless of their cloud provider types. With its fundamental capabilities to orchestrate containers, Kubernetes plays a crucial role in a multi-cloud environment. It enables the deployment and management of applications, thereby automating application deployment and management for enterprise organizations. This results in consistent and reliable execution across various cloud systems. Developers can create an automated workflow connecting infrastructure provisioning to application deployment processes. This end-to-end automation framework significantly improves operational efficiency, reduces product delivery schedules, and helps organizations develop a robust cloud strategy, enhancing market competitiveness. "
"Measuring autophagosome flux","https://scispace.com/paper/measuring-autophagosome-flux-b50l1puejm","2018","Journal Article","Autophagy","André du Toit
Jan-Hendrik S. Hofmeyr
Thomas J. Gniadek
Ben Loos","10.1080/15548627.2018.1469590","https://www.tandfonline.com/doi/pdf/10.1080/15548627.2018.1469590","… flux as a rate. In order to accurately measure the autophagic flux (or, more accurately, the autophagosome flux) … over time is required to calculate flux from the dynamic changes in pool …","Macroautophagy/autophagy is a proteolytic pathway that is involved in both bulk degradation of cytoplasmic proteins as well as in selective degradation of cytoplasmic organelles. Autophagic flux is..."
"Why should autophagic flux be assessed?","https://scispace.com/paper/why-should-autophagic-flux-be-assessed-44jsyuism0","2013","Journal Article","Acta Pharmacologica Sinica","Xiao Jie Zhang
Sheng Chen
Kai Xing Huang
Weidong Le","10.1038/APS.2012.184","https://www.nature.com/articles/aps2012184.pdf","… In detail, autophagic flux refers to the whole process of autophagy, including autophagosome … flux defects and human diseases and discuss the latest methods to monitor autophagic flux …","As autophagy is involved in cell growth, survival, development and death, impaired autophagic flux has been linked to a variety of human pathophysiological processes, including neurodegeneration, cancer, myopathy, cardiovascular and immune-mediated disorders. There is a growing need to identify and quantify the status of autophagic flux in different pathological conditions. Given that autophagy is a highly dynamic and complex process that is regulated at multiple steps, it is often assessed accurately. This perspective review article will focus on the autophagic flux defects in different human disorders and update the current methods of monitoring autophagic flux. This knowledge is essential for developing autophagy-related therapeutics for treating the diseases."
"Science in flux","https://scispace.com/paper/science-in-flux-zny7g3x5mo","1975","Journal Article","Physics Today","Joseph Agassi","10.1063/1.3024668","","The present volume is a collection of essays selected and arranged in the hope of presenting a comprehensive view of science, from three different levels of abstractness. On the factual …","To what extent and in what respect is science intellectually valuable? This is a controversial matter. What is hardly disputed is that what is alterable in science is of mere ephemeral value; and what is valuable in it is that which is more universal and permanent, that which is more solid and lasting. One of the very few philosophers who oppose this accepted view is Sir Karl Popper. In his view, science is so valuable because of its open- mindedness, because any of its achievements may at any time be given up and newer achievements may be hoped for to replace the relinquished ones. Science, says Popper, is at constant war with itself, and it progresses by revolutions and internal conflicts."
"Mastering Kubernetes: Master the art of container management by using the power of Kubernetes","https://scispace.com/paper/ylfOhQAbKoYJ","","","","G Sayfan","","http://ndl.ethernet.edu.et/bitstream/123456789/40210/2/115.Gigi%20Sayfan.pdf","… Kubernetes is, what Kubernetes isn't, and what container orchestration means exactly. Then we will cover some important Kubernetes … into the architecture of Kubernetes in more detail …",""
"Gas flux","https://scispace.com/paper/gas-flux-3rc9ykv3kdev","","","","D. E. Rolston","10.2136/sssabookser5.1.2ed.c47","","The need for measuring the soil‐gas flux, especially at the soil surface, arises from interest in quantifying sources and sinks of gases within the soil. This chapter discusses three basic …",""
"Rearchitecting kubernetes for the edge","https://scispace.com/paper/rearchitecting-kubernetes-for-the-edge-13ru07ydha","2021","Proceedings Article","arXiv: Distributed, Parallel, and Cluster Computing","Andrew Jeffery
Heidi Howard
Richard Mortier","10.1145/3434770.3459730","https://dl.acm.org/doi/pdf/10.1145/3434770.3459730","… have seen Kubernetes emerge as a primary choice for container orchestration. Kubernetes … Kubernetes stores all cluster state in etcd, a strongly consistent key-value store. We find that …","Recent years have seen Kubernetes emerge as a primary choice for container orchestration. Kubernetes largely targets the cloud environment but new use cases require performant, available and scalable orchestration at the edge. Kubernetes stores all cluster state in etcd, a strongly consistent key-value store. We find that at larger etcd cluster sizes, offering higher availability, write request latency significantly increases and throughput decreases similarly. Coupled with approximately 30% of Kubernetes requests being writes, this directly impacts the request latency and availability of Kubernetes, reducing its suitability for the edge. We revisit the requirement of strong consistency and propose an eventually consistent approach instead. This enables higher performance, availability and scalability whilst still supporting the broad needs of Kubernetes. This aims to make Kubernetes much more suitable for performance-critical, dynamically-scaled edge solutions."
"Xi commandments of kubernetes security: A systematization of knowledge related to kubernetes security practices","https://scispace.com/paper/xi-commandments-of-kubernetes-security-a-systematization-of-2zpuwwsmiy","2020","Posted Content","arXiv: Cryptography and Security","Md. Shazibul Islam Shamim
Farzana Ahamed Bhuiyan
Akond Rahman","","https://arxiv.org/pdf/2006.15275","… security practices can help practitioners mitigate vulnerabilities in their Kubernetes … their Kubernetes installations through a systematization of knowledge related to Kubernetes security …","Kubernetes is an open-source software for automating management of computerized services Organizations, such as IBM, Capital One and Adidas use Kubernetes to deploy and manage their containers, and have reported benefits related to deployment frequency Despite reported benefits, Kubernetes deployments are susceptible to security vulnerabilities, such as those that occurred at Tesla in 2018 A systematization of Kubernetes security practices can help practitioners mitigate vulnerabilities in their Kubernetes deployments The goal of this paper is to help practitioners in securing their Kubernetes installations through a systematization of knowledge related to Kubernetes security practices We systematize knowledge by applying qualitative analysis on 104 Internet artifacts We identify 11 security practices that include (i) implementation of role-based access control (RBAC) authorization to provide least privilege, (ii) applying security patches to keep Kubernetes updated, and (iii) implementing pod and network specific security policies"
"Modelling performance & resource management in kubernetes","https://scispace.com/paper/modelling-performance-resource-management-in-kubernetes-4z0whokaue","2016","Proceedings Article","IEEE/ACM International Conference Utility and Cloud Computing","Víctor Medel
Omer Rana
José Ángel Bañares
Unai Arronategui","10.1145/2996890.3007869","https://dl.acm.org/doi/pdf/10.1145/2996890.3007869","… We analyse performance of the Kubernetes system and develop a … Kubernetes deployment, and can be used as a basis to design scalable applications that make use of Kubernetes…","Containers are rapidly replacing Virtual Machines (VMs) as the compute instance of choice in cloud-based deployments. The significantly lower overhead of deploying containers (compared to VMs) has often been cited as one reason for this. We analyse performance of the Kubernetes system and develop a Reference net-based model of resource management within this system. Our model is characterised using real data from a Kubernetes deployment, and can be used as a basis to design scalable applications that make use of Kubernetes."
"The kubernetes book","https://scispace.com/paper/xfbidPkx20UJ","","","","N Poulton
P Joglekar","","https://it-systems.su/wp-content/uploads/2022/03/nigel-poulton-the-kubernetes-book-2020.pdf","… Why should anyone read this book or care about Kubernetes? Kubernetes is white-hot, and Kubernetes skills are in high demand. So, if you want to push ahead with your career and …",""
